FID IID E1
1 1 1
2 1 0
3 1 1
4 1 1
5 1 0
6 1 0
7 1 0
8 1 1
9 1 0
10 1 0
11 1 1
12 1 1
13 1 0
14 1 1
15 1 0
16 1 1
17 1 0
18 1 0
19 1 0
20 1 1
21 1 1
22 1 0
23 1 0
24 1 1
25 1 1
26 1 1
27 1 1
28 1 1
29 1 0
30 1 1
31 1 0
32 1 1
33 1 1
34 1 1
35 1 1
36 1 1
37 1 1
38 1 0
39 1 0
40 1 1
41 1 1
42 1 1
43 1 1
44 1 1
45 1 1
46 1 1
47 1 1
48 1 1
49 1 1
50 1 1
51 1 0
52 1 1
53 1 0
54 1 0
55 1 1
56 1 1
57 1 1
58 1 0
59 1 1
60 1 0
61 1 0
62 1 1
63 1 1
64 1 1
65 1 0
66 1 0
67 1 0
68 1 1
69 1 1
70 1 1
71 1 0
72 1 0
73 1 0
74 1 1
75 1 1
76 1 1
77 1 0
78 1 0
79 1 1
80 1 0
81 1 0
82 1 0
83 1 0
84 1 1
85 1 0
86 1 1
87 1 1
88 1 0
89 1 0
90 1 1
91 1 0
92 1 1
93 1 1
94 1 1
95 1 0
96 1 1
97 1 1
98 1 1
99 1 0
100 1 0
101 1 1
102 1 0
103 1 1
104 1 1
105 1 1
106 1 1
107 1 0
108 1 0
109 1 0
110 1 1
111 1 1
112 1 0
113 1 1
114 1 1
115 1 1
116 1 0
117 1 0
118 1 0
119 1 1
120 1 1
121 1 0
122 1 0
123 1 1
124 1 1
125 1 1
126 1 0
127 1 0
128 1 1
129 1 0
130 1 1
131 1 0
132 1 1
133 1 0
134 1 1
135 1 1
136 1 1
137 1 1
138 1 0
139 1 0
140 1 1
141 1 0
142 1 0
143 1 0
144 1 1
145 1 0
146 1 0
147 1 0
148 1 0
149 1 1
150 1 0
151 1 1
152 1 0
153 1 0
154 1 1
155 1 1
156 1 0
157 1 1
158 1 1
159 1 1
160 1 1
161 1 1
162 1 1
163 1 1
164 1 0
165 1 1
166 1 1
167 1 1
168 1 1
169 1 1
170 1 1
171 1 0
172 1 1
173 1 1
174 1 0
175 1 1
176 1 1
177 1 1
178 1 0
179 1 1
180 1 1
181 1 1
182 1 1
183 1 1
184 1 1
185 1 0
186 1 1
187 1 1
188 1 1
189 1 0
190 1 0
191 1 1
192 1 0
193 1 0
194 1 1
195 1 1
196 1 1
197 1 1
198 1 0
199 1 1
200 1 1
